keyword,answer
"ราคา, ค่าใช้จ่าย, กี่บาท, เท่าไหร่","สื่อการเรียนรู้ดิจิทัลเริ่มต้นที่ 2,200 บาท ถึง 6,900 บาทต่อรายการครับ ราคาจริงขึ้นกับจำนวนสิทธิ์การใช้งานและขอบเขตงาน รบกวนแจ้งจำนวนเครื่อง/จำนวนห้องเรียน เดี๋ยวทีมงานจัดใบเสนอราคาให้ครับ"
"ทดลองเรียน, ทดลองใช้, สาธิต, เดโม","เรามีบริการสาธิตและทดลองใช้สื่อฟรีครับ ทั้งแบบออนไลน์และเข้าไปสาธิตที่โรงเรียน นัดหมายล่วงหน้าประมาณ 3 วันทำการ โทร 099-626-9787"
"สมัครเรียน, สั่งซื้อ, ซื้อยังไง","สั่งซื้อได้ 2 ช่องทางครับ 1) เว็บไซต์ของบริษัท เลือกสินค้าใส่ตะกร้าแล้วทำรายการ 2) แจ้งทีมงานโดยตรงเพื่อออกใบเสนอราคา/ใบสั่งซื้อสำหรับหน่วยงานราชการ"
"ติดต่อ, เบอร์โทร, โทร, อีเมล, ไลน์","ติดต่อเราได้ที่ โทร 099-626-9787 หรือ 082-731-8082 อีเมล supannee@iwarichyoudee.com ครับ"
"ที่อยู่, แผนที่, ออฟฟิศ, บริษัทอยู่ไหน","222/56 หมู่ 7 ตำบลนิมิตรราช อำเภอบางบัวทอง จังหวัดนนทบุรี 11110 ครับ"
"เวลาทำการ, เปิดกี่โมง, วันหยุด","เปิดทำการจันทร์-ศุกร์ เวลา 08:30-17:30 น. หยุดเสาร์-อาทิตย์และวันหยุดนักขัตฤกษ์ครับ (แชทไลน์ตอบอัตโนมัติ 24 ชม.)"
"CEFR, ภาษาอังกฤษ, หลักสูตรอังกฤษ","สื่อภาษาอังกฤษของเราอ้างอิงมาตรฐาน CEFR ครบ A1-C1 ครับ มีทั้ง Picaro English (ปฐมวัย), Phonics Hero และ Vantage Essential English (มัธยม) พร้อม Placement Test"
"ห้องเรียนอัจฉริยะ, smart classroom, กระดานอัจฉริยะ","เราติดตั้ง Smart Classroom ครบวงจร ทั้งจอ AI-Powered Interactive Smart Display ระบบเครือข่าย และสื่อการสอน พร้อมอบรมการใช้งานให้ครูครับ ประเมินหน้างานฟรี"
"ห้องแลปภาษา, language lab","ห้องปฏิบัติการทางภาษาอัจฉริยะ (Digital Language Lab) ออกแบบและติดตั้งครบวงจร พร้อมระบบควบคุมสำหรับครูผู้สอนครับ"
"อบรม, ฝึกอบรม, สัมมนา","เรามีบริการ ICT Training & Seminar ครับ ทั้งอบรมการใช้ระบบและซอฟต์แวร์สำนักงาน อบรมห้องเรียนอัจฉริยะ อบรมภาษาอังกฤษ CEFR สำหรับครู และอบรมการใช้สื่อมัลติมีเดีย"
"ซ่อม, แจ้งซ่อม, เสีย, maintenance","แจ้งซ่อม/ปัญหาการใช้งานได้ที่ 099-626-9787 ครับ เรามีบริการดูแลรักษารายเดือน-รายปี กู้คืนข้อมูล และตรวจเช็กไวรัส"
"ชำระเงิน, จ่ายเงิน, โอนเงิน, พร้อมเพย์","รับชำระผ่านโอนเงิน/พร้อมเพย์ และออกใบเสนอราคา-ใบแจ้งหนี้สำหรับหน่วยงานได้ครับ รายละเอียดบัญชีทีมงานจะแจ้งพร้อมใบเสนอราคา"
"ส่วนลด, โปรโมชั่น, โค้ด","โค้ดส่วนลดที่ใช้ได้บนเว็บไซต์ตอนนี้คือ IWASCHOOL10 (ลด 10%) และ EDU2026 (ลด 15%) ครับ สำหรับการสั่งซื้อจำนวนมากติดต่อทีมงานเพื่อขอราคาพิเศษ"
